cab_id;t_start;t_end
inlica_7;1212808214;1212811279
inlica_8;1212814964;1212815363
inlica_9;1212816337;1212816378
inlica_10;1212816423;1212816907
inlica_11;1212817137;1212818271
inlica_12;1212819239;1212819602
inlica_13;1212821341;1212821485
ogdygdyd_0;1212756499;1212756628
ogdygdyd_1;1212756751;1212757598
ogdygdyd_2;1212758181;1212758604
ogdygdyd_3;1212758664;1212758844
ogdygdyd_4;1212759733;1212759854
ogdygdyd_5;1212759915;1212760284
ogdygdyd_6;1212761108;1212761169
ogdygdyd_7;1212761232;1212761350
ogdygdyd_8;1212762099;1212764528
ogdygdyd_9;1212765805;1212765924
ogdygdyd_10;1212766395;1212767123
ogdygdyd_11;1212767244;1212769684
ogdygdyd_12;1212770421;1212770901
ogdygdyd_13;1212772584;1212773189
ogdygdyd_14;1212773219;1212773930
ogdygdyd_15;1212774109;1212776745
ogdygdyd_16;1212776808;1212777880
ogdygdyd_17;1212779894;1212779960
ogdygdyd_18;1212780468;1212782395
ogdygdyd_19;1212782599;1212783394
ogdygdyd_20;1212783566;1212784132
ogdygdyd_21;1212784682;1212785996
ogdygdyd_22;1212787934;1212787964
ogdygdyd_23;1212788150;1212789762
ogdygdyd_24;1212789820;1212790136
ogdygdyd_25;1212810338;1212811642
ogdygdyd_26;1212811947;1212813172
ogdygdyd_27;1212814074;1212814135
ogdygdyd_28;1212815782;1212816071
ogdygdyd_29;1212817822;1212819212
ogdygdyd_30;1212819971;1212821386
ogdygdyd_31;1212821880;1212822000
igvidth_0;1212742625;1212744890
igvidth_1;1212750787;1212751313
igvidth_2;1212751373;1212751510
igvidth_3;1212758721;1212759327
